sample_id,subject_id,gesture_id,video_path,viewpoint,performer_handedness,background_id,num_frames,fps
U01_G01_V01,U01,G01,videos/User_01/Gesture_01/U01_G01_V01.mp4,allo,right,B01,147,58.05
U01_G01_V02,U01,G01,videos/User_01/Gesture_01/U01_G01_V02.mp4,allo,right,B01,132,58.23
U01_G01_V03,U01,G01,videos/User_01/Gesture_01/U01_G01_V03.mp4,allo,right,B01,147,59.22
U01_G01_V04,U01,G01,videos/User_01/Gesture_01/U01_G01_V04.mp4,allo,right,B01,151,59.24
U01_G01_V05,U01,G01,videos/User_01/Gesture_01/U01_G01_V05.mp4,allo,right,B01,145,56.89
U01_G01_V06,U01,G01,videos/User_01/Gesture_01/U01_G01_V06.mp4,allo,right,B01,145,56.83
U01_G01_V07,U01,G01,videos/User_01/Gesture_01/U01_G01_V07.mp4,allo,right,B02,150,57.63
U01_G01_V08,U01,G01,videos/User_01/Gesture_01/U01_G01_V08.mp4,allo,right,B02,148,55.7
U01_G01_V09,U01,G01,videos/User_01/Gesture_01/U01_G01_V09.mp4,allo,right,B02,147,56.56
U01_G01_V10,U01,G01,videos/User_01/Gesture_01/U01_G01_V10.mp4,allo,right,B02,142,55.59
U01_G01_V11,U01,G01,videos/User_01/Gesture_01/U01_G01_V11.mp4,allo,right,B02,151,57.53
U01_G01_V12,U01,G01,videos/User_01/Gesture_01/U01_G01_V12.mp4,allo,right,B02,149,57.33
U01_G01_V13,U01,G01,videos/User_01/Gesture_01/U01_G01_V13.mp4,allo,right,B02,147,56.2
U01_G01_V14,U01,G01,videos/User_01/Gesture_01/U01_G01_V14.mp4,allo,right,B02,147,58.03
U01_G02_V01,U01,G02,videos/User_01/Gesture_02/U01_G02_V01.mp4,allo,right,B01,160,59.58
U01_G02_V02,U01,G02,videos/User_01/Gesture_02/U01_G02_V02.mp4,allo,right,B01,153,58.5
U01_G02_V03,U01,G02,videos/User_01/Gesture_02/U01_G02_V03.mp4,allo,right,B01,151,58.48
U01_G02_V04,U01,G02,videos/User_01/Gesture_02/U01_G02_V04.mp4,allo,right,B01,149,58.84
U01_G02_V05,U01,G02,videos/User_01/Gesture_02/U01_G02_V05.mp4,allo,right,B01,149,58.08
U01_G02_V06,U01,G02,videos/User_01/Gesture_02/U01_G02_V06.mp4,allo,right,B01,147,58.05
U01_G02_V07,U01,G02,videos/User_01/Gesture_02/U01_G02_V07.mp4,allo,right,B01,153,59.64
